N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,-0.05867165287970444,1.0407538530618483,0.1058445148254763,0.00344236285163653,1.0831685826630832,0.011203061318640472
10,-0.08357039889852369,-1.02207657905606,-0.02934185007521517,0.0069840115720583695,1.0446405334549385,0.0008609441658364045
10,-0.12087430146828804,-0.015583329825688219,-0.053699982984690475,0.01461059675544658,0.00024284016845618403,0.0028836881725560464
10,0.15834869758890457,-0.2409873959061295,-0.16335139259538778,0.025074310028102353,0.0580749249856176,0.02668367746285251
10,-0.028191394574739737,1.25046729075124,-0.001830442182038372,0.0007947547280686651,1.5636684452387462,3.350518581785397e-06
10,0.10243759735665225,0.3445048307361481,-0.2096598277395394,0.010493461352203609,0.11868357840054207,0.04395724336777333
10,0.017767556254004502,0.26231725326760746,-0.021687265866755012,0.0003156860552392145,0.06881034136186212,0.000470337500775317
10,-0.031887160451737895,-0.5865468107123191,-0.001744110391210807,0.0010167910016748772,0.34403716115679306,3.041921056729514e-06
10,-0.056303658605795226,0.3221612836970737,0.11119719293785357,0.003170101972397939,0.1037878927133464,0.012364815717258233
10,-0.08769416036174094,0.010529105571071451,-0.06700031172214893,0.007690265761550735,0.00011086206412676787,0.004489041770865128
10,-0.04139108391246793,0.4872746342041663,-0.031785921117465754,0.0017132218274489614,0.23743656913880407,0.0010103447812857553
10,0.14331557503418657,0.07150692147449922,-0.0727377252676289,0.02053935404737956,0.005113239818760197,0.0052907766771090586
10,0.10667979418238427,0.39643952004061433,0.037929431646266,0.011380578486795868,0.15716429305003266,0.0014386417850087646
10,0.4596966681024647,-0.5063887711435098,-0.22926724340088755,0.21132102666450756,0.2564295875402339,0.05256346889664182
10,-0.018303289438011294,-0.24549967213702062,0.04040973844555562,0.0003350104042516158,0.06027008901938462,0.001632946961238216
10,-0.24146824504792952,-0.29878031915789904,0.1161720703795951,0.058306913366526936,0.08926967911609601,0.013495949936281596
10,-0.18211871784084321,0.039057092151881134,0.16841605767203083,0.033167227387992666,0.0015254564473605348,0.028363968481788814
10,0.07864529901532546,-0.5753911014344764,-0.29502884497830734,0.006185083057209952,0.33107491960997987,0.0870420193692341
10,0.40788383313794874,0.5492588109715215,-0.05143663286111977,0.16636922133530602,0.3016852414298496,0.002645727200089626
10,-0.038346556041012225,-0.4743418452402858,-0.0010035584157797595,0.0014704583602064912,0.2250001861459592,1.0071294938823805e-06
10,0.18648912920864325,-0.7323579630436794,-0.06036691209685252,0.034778195312998035,0.5363481860334873,0.003644164076109119
10,-0.12150260513948008,0.13130838820525914,0.11611427159582821,0.014762883055680411,0.01724189281306304,0.013482524068229758
10,0.3292807588230704,0.6116632767580303,-0.11776080004824263,0.10842581813109706,0.37413196413437083,0.013867606028002182
10,0.37136201070884933,-0.11716185471417684,-0.11903705438213019,0.13790974299771952,0.01372690020006588,0.01416982031597422
10,0.14603860734233054,0.26587291622630743,-0.09349936453535646,0.0213272748344874,0.07068840758268109,0.008742131168515473
10,0.20918220435824164,0.16615940770115767,-0.035492646264205785,0.04375719462017317,0.027608948767599534,0.0012597279388360408
10,0.061827687447199686,0.15745740108951367,-0.042919893222662986,0.003822662935068614,0.024792833157863983,0.001842117234244792
